File Name,PlotterScan
Date,2026-03-14
Time,17:08:07
Type,Line
Number Points X,5
Number Points Y,5

Messeinstellungen,IQ
Center Frequency,5e+07 DBM
Referenz Pegel,0
HF-Daempfung,0
Amplituden Einheit,DBM
Sample Rate,3.2e+07
Record Length,128
IF Bandwidth,300000
Trigger Source,IMM
Trigger Level,0
Trigger Delay,0

t in ns,0,3.125e-08,6.25e-08,9.375e-08,1.25e-07,1.5625e-07,1.875e-07,2.1875e-07,2.5e-07,2.8125e-07,3.125e-07,3.4375e-07,3.75e-07,4.0625e-07,4.375e-07,4.6875e-07,5e-07,5.3125e-07,5.625e-07,5.9375e-07,6.25e-07,6.5625e-07,6.875e-07,7.1875e-07,7.5e-07,7.8125e-07,8.125e-07,8.4375e-07,8.75e-07,9.0625e-07,9.375e-07,9.6875e-07,1e-06,1.03125e-06,1.0625e-06,1.09375e-06,1.125e-06,1.15625e-06,1.1875e-06,1.21875e-06,1.25e-06,1.28125e-06,1.3125e-06,1.34375e-06,1.375e-06,1.40625e-06,1.4375e-06,1.46875e-06,1.5e-06,1.53125e-06,1.5625e-06,1.59375e-06,1.625e-06,1.65625e-06,1.6875e-06,1.71875e-06,1.75e-06,1.78125e-06,1.8125e-06,1.84375e-06,1.875e-06,1.90625e-06,1.9375e-06,1.96875e-06,2e-06,2.03125e-06,2.0625e-06,2.09375e-06,2.125e-06,2.15625e-06,2.1875e-06,2.21875e-06,2.25e-06,2.28125e-06,2.3125e-06,2.34375e-06,2.375e-06,2.40625e-06,2.4375e-06,2.46875e-06,2.5e-06,2.53125e-06,2.5625e-06,2.59375e-06,2.625e-06,2.65625e-06,2.6875e-06,2.71875e-06,2.75e-06,2.78125e-06,2.8125e-06,2.84375e-06,2.875e-06,2.90625e-06,2.9375e-06,2.96875e-06,3e-06,3.03125e-06,3.0625e-06,3.09375e-06,3.125e-06,3.15625e-06,3.1875e-06,3.21875e-06,3.25e-06,3.28125e-06,3.3125e-06,3.34375e-06,3.375e-06,3.40625e-06,3.4375e-06,3.46875e-06,3.5e-06,3.53125e-06,3.5625e-06,3.59375e-06,3.625e-06,3.65625e-06,3.6875e-06,3.71875e-06,3.75e-06,3.78125e-06,3.8125e-06,3.84375e-06,3.875e-06,3.90625e-06,3.9375e-06,3.96875e-06
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
[1;1] Real,0.00011374,2.84433e-05,5.41557e-05,0.000112318,3.32238e-05,-7.91189e-05,-4.81128e-05,4.34225e-05,3.93204e-05,-5.33934e-06,2.03339e-05,6.4115e-05,4.02342e-05,-9.0549e-06,-1.11894e-05,2.13204e-05,4.42688e-05,4.43107e-05,1.80164e-05,-3.21838e-05,-6.69243e-05,-3.63973e-05,4.09372e-05,7.58516e-05,2.59529e-05,-2.98279e-05,-4.90042e-06,5.53387e-05,5.65211e-05,2.85458e-05,6.27801e-05,0.000114977,6.13432e-05,-6.71857e-05,-0.000114357,-5.25333e-05,4.84357e-06,1.98918e-05,3.68789e-05,2.39261e-05,-5.72391e-05,-0.000104385,-2.75649e-05,7.22941e-05,8.26171e-05,6.20607e-05,7.42284e-05,6.21166e-05,1.16528e-05,-4.40964e-06,9.71779e-06,1.0134e-05,4.67642e-05,0.000119235,8.50713e-05,-5.53322e-05,-6.54395e-05,0.000120641,0.000241953,0.000145757,1.89158e-05,3.7199e-05,0.000109794,8.41252e-05,-5.09135e-05,-1.13406e-05,3.23137e-05,7.81935e-06,-3.99487e-05,-4.36425e-05,-3.09109e-06,4.89335e-05,8.06476e-05,6.53019e-05,2.08094e-05,5.9196e-06,2.36681e-05,9.82983e-06,-3.60608e-05,-3.05837e-05,3.46249e-05,6.02346e-05,7.00617e-06,-5.41611e-05,-7.2673e-05,-5.41671e-05,1.24001e-06,6.55512e-05,6.91536e-05,2.22607e-05,1.78028e-05,5.30465e-05,3.05903e-05,-4.22335e-05,-6.59916e-05,-4.07571e-05,-3.57842e-05,-3.82951e-05,-2.13799e-05,-3.84047e-05,-9.05986e-05,-7.21913e-05,2.72743e-05,7.09013e-05,1.48132e-05,-1.98349e-05,2.54167e-05,6.28116e-05,3.87503e-05,4.88523e-06,-1.141e-05,-4.78212e-05,-9.84496e-05,-8.55623e-05,1.7509e-05,0.000106535,6.54021e-05,-5.45508e-05,-8.53717e-05,7.20594e-06,7.12513e-05,1.22777e-05,-8.32761e-05,-0.000119894,-0.000107916,-7.54592e-05,-3.92305e-05,-5.2196e-05
[1;1] Imag,6.60659e-05,2.44646e-05,9.39175e-05,9.06545e-05,-3.38752e-05,-8.31429e-05,3.12783e-06,5.55095e-05,1.23792e-05,-2.34917e-06,4.77659e-05,6.13408e-05,1.24933e-05,-1.7525e-05,4.26099e-06,3.56286e-05,4.70247e-05,3.49025e-05,-5.53555e-06,-5.53744e-05,-6.07954e-05,1.34795e-06,6.87765e-05,5.91207e-05,-8.39714e-06,-2.83304e-05,2.7826e-05,6.55582e-05,3.93336e-05,3.59764e-05,9.54975e-05,0.000104977,-3.42282e-06,-0.000107892,-9.08362e-05,-1.7366e-05,1.48655e-05,2.76456e-05,3.86805e-05,-1.13384e-05,-9.40866e-05,-7.94092e-05,2.9698e-05,8.87371e-05,6.92994e-05,6.56569e-05,7.54369e-05,3.73666e-05,-3.65634e-06,3.27702e-06,1.064e-05,1.938e-05,8.61602e-05,0.000123369,1.5291e-05,-9.06332e-05,1.55429e-05,0.000207845,0.000214617,6.93436e-05,1.04141e-05,7.86306e-05,0.000113047,3.06336e-05,-3.88248e-05,1.68478e-05,2.80686e-05,-1.85537e-05,-4.87232e-05,-2.68369e-05,2.31449e-05,6.93725e-05,7.97594e-05,4.29806e-05,6.6008e-06,1.46315e-05,2.40795e-05,-1.41963e-05,-4.40256e-05,1.13944e-07,5.81983e-05,4.02352e-05,-2.75725e-05,-6.89368e-05,-6.77692e-05,-3.06519e-05,3.67051e-05,7.72235e-05,4.64302e-05,1.12688e-05,3.63596e-05,5.24795e-05,-5.74421e-06,-6.37768e-05,-5.46799e-05,-3.41551e-05,-3.95178e-05,-3.00824e-05,-2.20876e-05,-6.61266e-05,-9.57826e-05,-2.49192e-05,6.39173e-05,4.91131e-05,-1.29972e-05,-3.14712e-06,5.12507e-05,5.62909e-05,1.94983e-05,-3.55979e-06,-2.53929e-05,-7.53997e-05,-0.000104569,-4.16582e-05,7.35796e-05,0.000104113,4.29631e-06,-8.88599e-05,-4.67697e-05,5.2985e-05,5.44822e-05,-3.89531e-05,-0.000110071,-0.000117733,-9.37522e-05,-5.5025e-05,-3.63348e-05,-8.48826e-05
[1;2] Real,1.63877e-05,-8.56284e-05,-4.56337e-05,5.63685e-05,5.27104e-05,-1.27e-05,4.01469e-06,7.44863e-05,7.13143e-05,9.10305e-06,9.79776e-06,8.61322e-05,0.000115074,2.47782e-05,-8.65115e-05,-7.68775e-05,2.17393e-05,3.26432e-05,-8.25634e-05,-0.000149293,-8.18264e-05,-3.09741e-05,-9.11878e-05,-0.000123149,-3.73218e-05,2.1927e-05,-4.77389e-05,-0.000117926,-7.78196e-05,-1.65669e-05,-2.75818e-05,-5.90229e-05,-5.15549e-05,-3.56935e-05,-4.04009e-05,-4.10179e-05,-8.34342e-06,5.81597e-05,0.000109941,6.77642e-05,-5.58908e-05,-0.000121889,-6.5674e-05,-3.81398e-06,-1.14174e-05,1.45198e-05,0.000123985,0.000178176,9.97055e-05,1.75852e-05,2.55147e-05,4.04741e-05,1.17994e-05,2.5069e-05,0.000107448,0.000154078,0.000111903,5.15577e-05,3.47434e-05,5.57064e-05,9.14851e-05,0.000105821,6.52309e-05,7.06373e-06,-2.63638e-05,-3.96886e-05,8.3154e-06,7.08636e-05,2.10154e-05,-0.000111981,-0.000133142,-1.01774e-05,5.12888e-05,-2.85982e-05,-8.11956e-05,-2.87317e-05,7.20878e-06,7.1116e-07,5.71341e-05,0.000139035,0.000108379,4.44932e-07,-4.58625e-05,-2.59134e-05,-7.53607e-06,8.08921e-06,1.8188e-05,3.43812e-06,2.40085e-05,0.000117267,0.000159521,5.71329e-05,-6.23361e-05,-6.80346e-05,-3.97051e-05,-7.41758e-05,-0.000108405,-8.40519e-05,-4.9815e-05,-1.35421e-05,6.63585e-05,0.000122529,6.01773e-05,-3.07216e-05,6.10652e-06,0.000113838,0.000103949,-3.08656e-05,-0.000108563,-4.13165e-05,6.05905e-05,8.15921e-05,4.96141e-05,4.11509e-05,4.88056e-05,3.28404e-05,2.37603e-05,5.38481e-05,5.53259e-05,-2.78665e-05,-0.000102291,-6.85328e-05,-9.86313e-06,-4.70472e-05,-0.000114348,-8.27868e-05,9.22126e-06,4.10228e-05
[1;2] Imag,-4.61875e-05,-8.47731e-05,1.11957e-05,7.08299e-05,1.67818e-05,-1.79372e-05,4.15592e-05,8.58994e-05,3.99331e-05,-3.77464e-06,4.46272e-05,0.000115058,8.23656e-05,-3.95046e-05,-0.00010017,-2.77192e-05,4.65415e-05,-1.77756e-05,-0.000133155,-0.000126546,-4.28586e-05,-5.19084e-05,-0.00012202,-9.00523e-05,7.76865e-06,-6.72198e-07,-9.46817e-05,-0.000109655,-4.03116e-05,-1.39494e-05,-4.68745e-05,-5.92492e-05,-4.14309e-05,-3.6684e-05,-4.33557e-05,-2.93655e-05,2.19573e-05,9.10528e-05,0.000103923,8.77834e-06,-0.000105015,-0.000104393,-2.62629e-05,-2.78853e-06,-1.05153e-05,6.47332e-05,0.000167881,0.000150873,4.88906e-05,1.24236e-05,3.91419e-05,2.82838e-05,7.29652e-06,6.23914e-05,0.000142465,0.000141496,7.7853e-05,3.71727e-05,4.22988e-05,7.31038e-05,0.000104223,9.24857e-05,3.31835e-05,-5.98229e-06,-3.78538e-05,-2.4614e-05,4.64879e-05,6.45745e-05,-4.68565e-05,-0.000146233,-7.8941e-05,4.05983e-05,2.13474e-05,-6.93722e-05,-6.25554e-05,-1.70209e-06,2.89413e-06,1.77676e-05,0.000104547,0.00014153,5.44702e-05,-3.53043e-05,-3.9069e-05,-1.45301e-05,-7.53542e-07,1.58566e-05,1.25119e-05,3.56024e-06,6.5843e-05,0.00015562,0.000122926,-1.33746e-05,-7.85293e-05,-4.82596e-05,-5.04838e-05,-9.80965e-05,-0.000101238,-6.50604e-05,-3.59166e-05,2.20026e-05,0.000106163,0.000105337,6.01676e-06,-3.09539e-05,6.36791e-05,0.000130694,4.23762e-05,-8.77804e-05,-8.94678e-05,1.55888e-05,8.26388e-05,6.61183e-05,4.0849e-05,4.65371e-05,4.3289e-05,2.36572e-05,3.63245e-05,6.42237e-05,2.15717e-05,-7.51579e-05,-9.81332e-05,-3.23155e-05,-1.54773e-05,-8.69237e-05,-0.00011362,-3.56517e-05,3.67807e-05,2.83721e-05
[1;3] Real,5.06977e-05,3.50617e-05,8.63423e-06,-7.06054e-05,-0.000125532,-9.10246e-05,-1.50243e-05,3.4115e-05,5.16014e-05,5.82352e-05,6.00664e-05,5.15152e-05,1.44484e-05,-5.30983e-05,-8.5423e-05,-1.0238e-05,0.000105545,9.56071e-05,-5.63818e-05,-0.000158525,-9.40357e-05,1.67227e-05,4.99996e-05,5.30454e-05,5.35048e-05,-3.71263e-05,-0.000183095,-0.000188904,-3.96426e-05,4.54146e-05,-1.48366e-05,-8.20242e-05,-0.000104147,-0.00014204,-0.000150246,-7.94163e-05,-5.30796e-05,-0.000135969,-0.000166892,-7.76034e-05,-4.88784e-05,-0.000144391,-0.000175841,-8.2918e-05,-4.01242e-05,-9.44927e-05,-9.52294e-05,-1.84185e-05,3.81032e-06,-3.50409e-05,-2.17086e-05,3.74825e-05,4.49659e-05,1.12266e-05,1.43401e-05,3.25045e-05,-1.19468e-05,-9.68203e-05,-0.000122044,-5.95474e-05,1.23071e-05,1.74181e-05,-3.39975e-05,-7.54238e-05,0.000119043,0.000187983,0.000145452,6.10351e-05,4.3971e-05,8.44739e-05,0.000105099,9.76341e-05,0.000111672,0.000151662,0.000165873,0.000122232,4.69574e-05,-7.05897e-06,-1.13379e-05,1.14389e-05,1.11429e-05,-2.7783e-05,-5.97636e-05,-3.17252e-05,4.93969e-05,0.000120616,0.000127192,7.44599e-05,1.64342e-05,-9.36222e-06,-2.07672e-05,-4.12246e-05,-4.15708e-05,1.15832e-05,7.36446e-05,6.41745e-05,-1.48083e-05,-7.37921e-05,-5.59989e-05,-2.00638e-06,2.64283e-05,3.15544e-05,4.0406e-05,2.99556e-05,-2.31785e-05,-6.10082e-05,-3.16395e-05,-9.785e-06,-7.36807e-05,-0.00012723,-4.42015e-05,8.50956e-05,8.2103e-05,-2.1777e-05,-5.44667e-05,6.52056e-06,3.93937e-05,-2.50696e-06,-6.60624e-05,-0.000110461,-0.000108207,-3.94486e-05,3.06791e-05,5.35593e-06,-7.12999e-05,-6.22627e-05,2.93454e-05,6.70957e-05
[1;3] Imag,3.84927e-05,2.86005e-05,-2.7151e-05,-0.000107588,-0.000118637,-5.29868e-05,1.46579e-05,4.56692e-05,5.53784e-05,5.94732e-05,5.82716e-05,3.81428e-05,-1.83567e-05,-8.00516e-05,-6.09253e-05,5.32303e-05,0.000123139,2.81454e-05,-0.000126515,-0.000144098,-3.27919e-05,4.33171e-05,4.96855e-05,5.84139e-05,2.36226e-05,-0.000115304,-0.000212703,-0.00012123,2.33497e-05,2.61746e-05,-5.56641e-05,-9.40925e-05,-0.000120743,-0.000156689,-0.000119988,-5.0802e-05,-8.77921e-05,-0.000169213,-0.000129066,-4.40128e-05,-9.00256e-05,-0.000179666,-0.00013636,-4.50097e-05,-6.31594e-05,-0.00010964,-5.86568e-05,5.64907e-06,-1.54846e-05,-3.92568e-05,9.14045e-06,5.07637e-05,2.7297e-05,6.5346e-06,2.73174e-05,1.96905e-05,-5.53656e-05,-0.000121411,-9.88256e-05,-1.86043e-05,2.52467e-05,-5.09592e-06,-6.03826e-05,-7.68369e-05,0.000165391,0.000179693,9.99453e-05,4.13014e-05,6.24193e-05,0.000100251,0.000101526,9.98704e-05,0.000131506,0.000165085,0.000150518,8.56345e-05,1.46778e-05,-1.57153e-05,-2.24343e-07,1.71496e-05,-5.33768e-06,-4.91278e-05,-5.43508e-05,5.55791e-06,9.0448e-05,0.00013342,0.000105477,4.22503e-05,-3.79031e-07,-1.42033e-05,-3.07671e-05,-4.73421e-05,-2.05626e-05,4.71625e-05,8.01751e-05,2.88665e-05,-5.23276e-05,-7.41548e-05,-2.87823e-05,1.71409e-05,2.9483e-05,3.5639e-05,4.06214e-05,6.73159e-06,-4.9567e-05,-5.25985e-05,-1.2104e-05,-3.31081e-05,-0.000112461,-0.000102807,2.75982e-05,0.000104728,3.18511e-05,-5.41939e-05,-2.88735e-05,3.31568e-05,2.5202e-05,-3.52533e-05,-9.17447e-05,-0.00011752,-8.09826e-05,3.30656e-06,3.19281e-05,-3.62845e-05,-8.25365e-05,-1.81735e-05,6.14933e-05,4.79164e-05
[1;4] Real,-5.9187e-05,3.57424e-06,8.45958e-05,5.48173e-05,3.95804e-06,5.24963e-05,0.00011984,8.52352e-05,1.46305e-05,1.78338e-05,3.86849e-05,-8.64773e-06,-5.14043e-05,-5.52192e-06,4.38665e-05,5.47216e-06,-3.10287e-05,3.29068e-05,0.000107453,8.32519e-05,2.44945e-05,1.09603e-05,-1.65148e-05,-8.43222e-05,-8.12359e-05,2.32861e-05,8.94169e-05,5.60237e-05,3.93736e-05,9.63629e-05,0.000127898,8.257e-05,4.15587e-05,5.52754e-05,6.98504e-05,4.23466e-05,1.67455e-06,-1.18508e-05,1.17296e-05,4.94325e-05,4.52521e-05,-2.49448e-05,-7.32696e-05,-9.05062e-07,0.000111443,8.94509e-05,-4.36251e-05,-9.09515e-05,-1.56592e-05,2.2473e-05,-2.61596e-05,-5.70248e-05,-5.67916e-05,-8.54679e-05,-8.04766e-05,1.96977e-05,8.54084e-05,1.5024e-05,-4.97225e-05,1.01238e-05,6.47432e-05,1.91286e-05,1.96979e-05,0.000139719,0.000101041,0.000113602,3.59043e-05,-8.98829e-05,-0.000100756,2.57834e-05,0.000104925,3.58262e-05,-5.09811e-05,-3.9708e-05,-3.819e-06,-1.11262e-05,2.75213e-05,0.000153426,0.000205883,7.57261e-05,-6.01071e-05,7.60024e-06,0.000173694,0.000183508,4.02527e-05,-2.33592e-05,6.6913e-05,0.000129087,4.252e-05,-5.78994e-05,-1.3165e-05,8.88734e-05,5.31087e-05,-9.22341e-05,-0.000137145,-4.3584e-05,1.4387e-05,-1.52069e-05,6.32361e-06,9.48785e-05,8.66247e-05,-3.59735e-05,-7.83726e-05,2.6363e-05,9.92886e-05,1.76829e-05,-0.000107494,-0.000136745,-9.41133e-05,-7.022e-05,-7.07326e-05,-5.61614e-05,-4.76459e-05,-8.70643e-05,-0.000133269,-0.000109613,-3.67499e-05,-3.69502e-06,-2.10217e-05,-2.1178e-05,1.21666e-05,3.02551e-05,1.6459e-05,3.02381e-06,1.0254e-05,2.8196e-05,3.80766e-05,3.32378e-05
[1;4] Imag,-4.24401e-05,5.42295e-05,8.25836e-05,2.10685e-05,1.63187e-05,9.41516e-05,0.000115559,4.53107e-05,6.47061e-06,3.37388e-05,2.28497e-05,-3.87211e-05,-3.82654e-05,2.78216e-05,3.42854e-05,-2.28798e-05,-1.03018e-05,7.92266e-05,0.000107357,4.99804e-05,1.36109e-05,4.47836e-06,-5.11203e-05,-9.84208e-05,-3.4468e-05,6.98045e-05,7.98504e-05,3.79054e-05,6.29401e-05,0.000122054,0.000111587,5.55676e-05,4.33702e-05,6.70806e-05,6.07029e-05,2.03274e-05,-9.55533e-06,-3.9666e-06,3.13702e-05,5.6213e-05,1.60367e-05,-6.06986e-05,-5.2685e-05,6.29671e-05,0.000122832,2.44648e-05,-8.70971e-05,-5.98025e-05,1.64993e-05,3.33717e-06,-4.85118e-05,-5.61755e-05,-6.80894e-05,-9.42336e-05,-3.82605e-05,6.79862e-05,6.33726e-05,-3.07657e-05,-3.21841e-05,4.98084e-05,4.95078e-05,2.07554e-06,7.28424e-05,0.000185351,0.000114207,8.81344e-05,-3.09052e-05,-0.000117665,-4.52981e-05,8.37444e-05,8.41875e-05,-1.70063e-05,-5.60454e-05,-1.70577e-05,-5.40207e-06,-4.64158e-06,8.63421e-05,0.000201232,0.00015872,-9.22925e-06,-5.37379e-05,9.63206e-05,0.000206988,0.000117231,-1.38878e-05,1.10016e-05,0.000114815,0.000100569,-1.96253e-05,-5.43696e-05,4.45066e-05,9.3821e-05,-1.85e-05,-0.000137031,-9.84736e-05,-3.22884e-07,3.16872e-06,-1.81931e-05,5.17099e-05,0.000110824,2.89765e-05,-7.80724e-05,-3.64224e-05,7.95358e-05,7.53572e-05,-5.06957e-05,-0.000136837,-0.000118061,-7.65891e-05,-7.05072e-05,-6.61012e-05,-4.72162e-05,-6.1536e-05,-0.000115421,-0.00013171,-7.3302e-05,-1.20808e-05,-9.98286e-06,-2.60548e-05,-6.28972e-06,2.53459e-05,2.61698e-05,7.825e-06,3.79459e-06,1.90562e-05,3.53724e-05,3.67185e-05,3.15936e-05
[1;5] Real,-0.000123673,9.78448e-06,8.98465e-05,8.67797e-05,7.25227e-05,1.83552e-05,-8.88675e-05,-0.000120463,-2.73428e-05,4.22592e-05,1.2358e-05,-7.6689e-06,1.51141e-05,-2.02836e-05,-8.33904e-05,-3.08142e-05,8.79895e-05,8.67211e-05,-1.89632e-05,-5.76819e-05,-1.34925e-05,1.19006e-05,2.32974e-05,5.86642e-05,6.54249e-05,4.34345e-05,8.06993e-05,0.000133348,7.09688e-05,-2.33643e-05,2.49245e-05,9.33669e-05,-4.74034e-05,-0.000237463,-0.000156345,6.02531e-05,3.02076e-05,-0.000172329,-0.000168286,1.02498e-05,2.68595e-05,-9.37443e-05,-7.56125e-05,2.77661e-05,-5.44327e-06,-7.81069e-05,-1.09675e-05,6.43076e-05,1.38785e-05,-8.54154e-06,7.43188e-05,8.6258e-05,-5.57599e-06,-2.35336e-05,2.86478e-05,6.69415e-06,-2.57393e-05,4.89668e-05,0.00010746,3.70694e-05,-1.46521e-05,5.54005e-05,0.000102315,4.39043e-05,8.94676e-06,4.27344e-05,-2.25191e-05,-9.536e-05,-7.84486e-05,1.46252e-05,8.55717e-05,5.71271e-05,-3.78135e-05,-8.12449e-05,-2.29342e-05,3.41344e-05,-1.28113e-05,-9.14408e-05,-8.10011e-05,-3.93151e-05,-8.77125e-05,-0.000147377,-6.60914e-05,7.13474e-05,7.03157e-05,-2.75921e-05,-4.26893e-05,1.8813e-05,3.99834e-05,3.6915e-05,6.21299e-05,4.80934e-05,-4.29415e-05,-0.000107863,-7.75973e-05,-1.48116e-05,1.88052e-05,2.80359e-05,2.70679e-05,3.09978e-05,4.63291e-05,3.28355e-05,-2.86833e-05,-6.99701e-05,-5.04776e-05,-3.67835e-05,-6.24416e-05,-5.62789e-05,7.95633e-06,5.23742e-05,3.35998e-05,-3.64305e-07,-5.42752e-07,2.95157e-05,4.49518e-05,-7.5174e-07,-7.44489e-05,-7.32259e-05,1.13008e-05,5.61583e-05,1.39182e-05,-9.4266e-06,4.25757e-05,8.79991e-05,8.27556e-05,9.43888e-05,0.000152557,0.000185969
[1;5] Imag,-6.09082e-05,6.34083e-05,9.36501e-05,8.00722e-05,5.43435e-05,-3.4333e-05,-0.000122411,-8.32384e-05,2.0602e-05,3.53893e-05,-6.12203e-06,4.14075e-06,8.62235e-06,-5.84541e-05,-7.54735e-05,3.32989e-05,0.000108503,3.54964e-05,-5.31455e-05,-3.88629e-05,4.26387e-06,1.51632e-05,4.02415e-05,6.88239e-05,5.20001e-05,5.27567e-05,0.000115196,0.00011774,1.36429e-05,-1.79219e-05,7.54184e-05,5.05234e-05,-0.00016108,-0.000236526,-3.73198e-05,8.68636e-05,-7.57654e-05,-0.000208921,-7.76041e-05,5.0215e-05,-3.64166e-05,-0.000109397,-1.64397e-05,3.07855e-05,-5.37459e-05,-6.04301e-05,4.07719e-05,4.97391e-05,-1.32133e-05,2.82654e-05,9.91684e-05,4.28486e-05,-3.10744e-05,4.27138e-06,2.95257e-05,-1.94522e-05,1.07017e-07,9.30197e-05,8.42857e-05,-4.06895e-06,1.01365e-05,9.32775e-05,8.0824e-05,1.4989e-05,3.9101e-05,1.87553e-05,-6.60785e-05,-9.97827e-05,-3.63518e-05,5.91872e-05,8.51704e-05,1.13275e-05,-7.31854e-05,-6.12194e-05,1.55801e-05,2.32589e-05,-5.82865e-05,-9.84951e-05,-5.40199e-05,-5.15368e-05,-0.000128385,-0.000126099,1.00872e-05,9.31523e-05,2.07397e-05,-5.15145e-05,-1.26711e-05,3.76388e-05,3.54463e-05,4.77265e-05,6.64726e-05,7.7794e-06,-8.68209e-05,-0.00010247,-4.44471e-05,5.96047e-06,2.54287e-05,2.83923e-05,2.68254e-05,3.87954e-05,4.67886e-05,5.02744e-06,-5.73822e-05,-6.48118e-05,-3.77981e-05,-4.83501e-05,-6.78996e-05,-2.74187e-05,3.76136e-05,4.90973e-05,1.45819e-05,-5.72789e-06,1.27211e-05,4.29336e-05,3.02236e-05,-4.05301e-05,-8.75609e-05,-3.50919e-05,4.57248e-05,4.15998e-05,-7.31254e-06,9.96934e-06,7.21157e-05,8.92894e-05,8.15683e-05,0.000120409,0.000178233,0.000171087
